customer_unique_id,recency,frequency,monetary_value,mean_review_score,mean_payment_installments,client_status,dbscan_label
352edc42ddf92161e32abb07872de623,251,1,2315.83,5.0,1.0,Atypique,-1
bd90c3e19e58ff2439e72b0554026418,114,1,2314.82,5.0,4.0,VIP_atypique,-1
00c07da5ba0e07b4f248a3a373b07476,34,1,2304.68,5.0,10.0,VIP_atypique,-1
6ddbc64bd04d40f7768ff088d94cbeb8,142,2,2299.66,5.0,1.0,Atypique,-1
559026a1299bd2ede976c8d516d92258,181,1,2276.1,1.0,1.0,Atypique,-1
fa094305fdb6062436c99adba7d53dde,44,1,2267.28,4.0,10.0,VIP_atypique,-1
7dd0031f1da839843abbcda4e9fb317b,49,1,2267.18,5.0,4.0,VIP_atypique,-1
a58b1fe8146940d706e5f07d73bc7d51,129,1,2264.9,1.0,10.0,Atypique,-1
e79c794eb044c594d923722240125052,34,1,2252.66,4.0,8.0,VIP_atypique,-1
bd879722dc92d795d57264b3c1e09f6a,146,1,2241.64,1.0,1.0,Atypique,-1
3d47f4368ccc8e1bb4c4a12dbda7111b,331,1,2234.66,1.0,10.0,Atypique,-1
10e1df2717597281c5cffa0e0a7ca7cb,15,1,2225.69,5.0,10.0,VIP_atypique,-1
1a3a962a15f8c6ee0178e1102387d3cc,79,1,2223.12,5.0,6.0,VIP_atypique,-1
9d15276f07200ca33bdd7eab12ba67ad,121,1,2220.32,5.0,1.0,Atypique,-1
14f5335a43420b92aa77e1f35ada3f42,116,1,2213.22,5.0,4.0,Atypique,-1
1579133af5d1fadd0e5e37ec439ed1ec,118,1,2207.98,5.0,10.0,Atypique,-1
3895f60f6e6a89e5cfb7b72ffdcdf7e0,230,1,2204.04,1.0,6.0,Atypique,-1
c402f431464c72e27330a67f7b94d4fb,188,1,2202.4,1.0,1.0,Atypique,-1
9db254a87951220e74c58549749cf128,6,1,2187.42,5.0,10.0,VIP_atypique,-1
25d558c329b841732700cb45b86260cf,65,1,2187.42,5.0,1.0,VIP_atypique,-1
3cdadaf84a996b3f07ccfcf9796f1dfd,89,1,2183.6,5.0,10.0,VIP_atypique,-1
1da09dd64e235e7c2f29a4faff33535c,231,3,2164.4,3.6666666666666665,1.0,Atypique,-1
02e8a66528e84b3ca6150d9b1e03a26f,67,1,2158.57,5.0,6.0,VIP_atypique,-1
e0a7e61d37dd4060ab419bdb93a9f05d,25,1,2155.35,5.0,1.0,VIP_atypique,-1
445e36c0849ad359c7b6d99786c3357c,117,1,2153.35,5.0,10.0,Atypique,-1
12ebfdb41392890f9d7a8de957274741,102,1,2153.35,5.0,10.0,VIP_atypique,-1
ea6f9323b5f8d196980fa72fb91546d0,148,1,2153.35,5.0,4.0,Atypique,-1
b26746dace6d5d8633283ef402271974,148,1,2153.35,4.0,10.0,Atypique,-1
c77dde0ffa573d733a5afe93774246ec,235,1,2152.92,5.0,6.0,Atypique,-1
3baa1dfebd3d28ccc8cdbf5d9faa7602,78,1,2151.29,3.0,10.0,VIP_atypique,-1
46e8adbe1802b0aa1d172eb1a4eba9fe,286,1,2150.22,5.0,10.0,Atypique,-1
00adeda9b742746c0c66e10d00ea1b74,295,1,2148.4,1.0,10.0,Atypique,-1
8a8a3b96590da699865fa7e07e0e08ff,98,1,2133.69,5.0,10.0,VIP_atypique,-1
afc8f3a11a809a74e5eef0bda1de6b9c,118,1,2124.78,5.0,10.0,Atypique,-1
e8258022c5060b1f3d861556a17fd741,22,1,2115.79,5.0,5.0,VIP_atypique,-1
87566fe4966777f59b86e1313f177587,109,1,2115.05,4.0,10.0,VIP_atypique,-1
c705e3b98b76bd8e56d09625ac94216a,127,1,2114.63,5.0,10.0,Atypique,-1
82cd8a647fc34614fde430b3285b913e,141,1,2110.57,5.0,10.0,Atypique,-1
af17def00ed5fb1ccbebfe805b0bb641,279,1,2106.55,5.0,10.0,Atypique,-1
2f99070486aafcc5dac7a979c1ed5f32,124,1,2105.57,5.0,2.0,Atypique,-1
7de6d654e4d5b71483c3799468bc27e6,14,1,2098.4,5.0,10.0,VIP_atypique,-1
ea1c9b1a4cc63f26f5a165203a4ebd4f,213,1,2096.14,5.0,1.0,Atypique,-1
92ce8d58d57d7a8f8b2d5ca4b9810b64,145,1,2094.44,5.0,7.0,Atypique,-1
59bfe97acaf7979ebbc663af8bb1827d,217,1,2092.86,1.0,10.0,Atypique,-1
ef7361e14a64f77990f58e9c571e2f9a,186,1,2091.33,1.0,10.0,Atypique,-1
44975ad30406e58b8c7f2a8dae4c46f8,316,1,2083.09,5.0,10.0,Atypique,-1
963fee8d1953b0f2bc792a06043fb11c,57,1,2082.36,4.0,10.0,VIP_atypique,-1
83486a65903aefe02ed3bac7c23b5f65,93,1,2075.48,4.0,1.0,VIP_atypique,-1
c7794313e2cd53472b116a751350f132,13,1,2073.25,4.0,10.0,VIP_atypique,-1
73601b1eec55943e90ce8d61253d5c09,302,2,2068.68,4.5,1.0,Atypique,-1
f28efe52152019a633891bfdb679886e,71,1,2065.77,5.0,1.0,VIP_atypique,-1
6cba2fea42066c8781a30cd92826317c,127,1,2060.51,4.0,7.0,Atypique,-1
613835be7274f39d246f0c9c264ca132,226,1,2060.2,1.0,7.0,Atypique,-1
3d60952351a48ae05804341ab1e3f7fa,230,1,2060.2,5.0,4.0,Atypique,-1
8831da2a67b7007cd92faef855f9fb52,105,1,2055.84,2.0,1.0,VIP_atypique,-1
e197b5ef3ad3220f87041f2475b37c81,142,1,2048.12,5.0,4.0,Atypique,-1
b0c3cd877e81291a25eb0be8b1919458,79,1,2045.47,5.0,10.0,VIP_atypique,-1
26745aefcbade7bf038c84f9529ba5b1,305,1,2039.31,4.0,10.0,Atypique,-1
6d394722d5fc5e721aee6875a218d8db,298,1,2039.2,4.0,1.0,Atypique,-1
a7acd7f8aefc1d48f618e3f15c5e327b,112,1,2036.04,4.0,3.0,VIP_atypique,-1
3d81d4e0977945889ce7eee309a884c5,112,1,2034.31,5.0,10.0,VIP_atypique,-1
